Pair,Distance,CADF p-value,ADF p-value,Spread SD,Pearson r,Num zero-crossings,Hurst Exponent,Half-life of mean reversion,% days within historical 2-SD band,Hedge ratio
IEX-WTRG,2.7306183926059893,0.00038723851142134276,5.6267091360278414e-05,0.0996416803122245,0.8840174551703799,66,0.48446645151527623,17.5658916451313,94.9468085106383,1.9562737604191875
IEX-WRLD,1.694439619656447,0.002032820557567829,0.0003477342564219648,0.0618309798788999,0.9570052186313444,50,0.3708047128327763,15.62125034325026,94.9468085106383,0.5594480148934257
NUAN-CXW,1.8585608774771363,0.007037924726706909,0.0013916367115506128,0.0678198496340041,0.5902431897127844,42,0.3954027140562784,17.43436780789339,95.61170212765957,0.24820202873941
MOH-DECK,3.62546212861573,0.007351175059271069,0.0014632293368647797,0.1322949919995398,0.9408274142266817,48,0.3574876986103339,22.901431295272108,95.2127659574468,1.00971361171062
PWR-NCLH,1.9922327793805745,0.006778710318748522,0.0013331099396657641,0.0726976066110521,0.7774432658944727,61,0.41303334096330774,20.680678230234957,96.27659574468085,0.6662582648560472
PWR-FLO,2.4588055272031974,0.009813931093158784,0.0020187842960311623,0.0897230879843647,0.6304235981446441,36,0.4877825263609693,26.468762590080846,96.4095744680851,0.5653499942015712
PWR-CPF,1.6233129799281982,0.003635807085744637,0.000663690781918559,0.0592355319332346,0.8586966950058218,81,0.3650574857005749,15.325692484849583,94.81382978723404,1.1975194776234557
WSM-BAH,2.0990976424322176,0.008177887946993452,0.001649846331870633,0.0765971608474239,0.7711508790858732,42,0.40008744077152947,17.023442028221158,95.61170212765957,0.4159521787375639
WSM-RPM,2.066703623943142,0.0042084317051007125,0.0007824255832298137,0.075415086324284,0.7791581518403367,62,0.40684241677346233,17.42304207964349,94.68085106382979,0.9352353860406524
WSM-LSI,2.152824443747661,0.002580982566952659,0.0004540890010286329,0.0785576796717928,0.7574030206559296,61,0.37918140768222164,15.673785934744423,94.9468085106383,0.7724138561091167
WSM-TTEK,2.0489106362316827,0.002972395433008925,0.0005293062522999261,0.0747658109813268,0.7834690492534221,68,0.37158229961343564,17.068918934719477,95.74468085106383,0.4277075245007187
WSM-FCN,1.8960423066216145,0.0035952851537410764,0.0006560096735998629,0.0691875664085532,0.8181069310750272,63,0.36562613025081453,14.710406806093273,95.61170212765957,0.3317540049535554
WSM-WTS,2.126467166682411,0.009556805802532722,0.001968433031024101,0.0775958889718005,0.7642217645062244,62,0.39520137035448505,17.621418512489942,94.68085106382979,0.7413510738912774
WSM-RLI,2.0053752519874557,0.003537246016579296,0.0006437865009820026,0.0731771822476746,0.7937634379774391,57,0.37241945372572444,15.18584290784747,95.74468085106383,0.6535470009165052
WSM-EGHT,2.258101849614355,0.009229085123743904,0.0018944018072309685,0.0823993067727727,0.7286576467581253,39,0.37541238409117883,18.926001896176984,95.74468085106383,0.4481939811877993
WSM-KAR,2.052991237359338,0.00716232394719483,0.0014202941831676283,0.074914714231281,0.7824857862337481,50,0.33402986706280385,16.580740881270003,98.40425531914893,0.6253948302147856
WSM-CNMD,2.0313269307939494,0.007683711499191337,0.0015390746780029041,0.0741241724570002,0.7876697411070256,69,0.38751137679591713,16.31028577890902,96.01063829787235,0.3746075974240819
WSM-LADR,2.0806978191132868,0.007569003966983627,0.001512020244992152,0.0759257417586524,0.7757244235229446,46,0.3985156927153856,16.546747561368203,96.4095744680851,0.5144368887603052
WSM-KFRC,1.894946527225772,0.005519460465013956,0.0010603340213033404,0.069147580850502,0.8183404451792139,68,0.35309786378584174,15.196255983291413,95.74468085106383,0.3465979085879793
WSM-SAFT,2.0840893475731352,0.008908877292355377,0.0018181376109033887,0.0760495003898405,0.7748864602658814,44,0.38603953746633735,17.128533934952134,97.07446808510637,0.621085228675542
FANG-RYN,2.112570516817027,0.006311541086736858,0.0012315159114517052,0.0770887930161565,0.7908445889719469,70,0.35897405676885136,16.277820030106746,95.61170212765957,0.7818613268068587
FANG-CW,1.9374055494094076,0.0028442379876239985,0.0005055803687324447,0.0706969325747295,0.8276318871581917,45,0.3189126213106419,15.651743972397355,97.6063829787234,0.6688871123690759
FANG-UMPQ,1.9393301737379498,0.0034649479351411172,0.0006291864557294712,0.0707671631139308,0.8272534891654618,82,0.3551967984865844,14.808468918591865,94.28191489361703,0.727531360418502
FANG-XPO,2.036042680565761,0.005856755284268619,0.0011320052297054406,0.0742962526101507,0.8075152338141466,74,0.3506754672638044,16.15760700210159,93.88297872340425,0.2627368345651397
