Pair,Distance,CADF p-value,ADF p-value,Spread SD,Pearson r,Num zero-crossings,Hurst Exponent,Half-life of mean reversion,% days within historical 2-SD band
IEX-GRA,1.9352266775445137,0.3596350697648532,0.06008629894514451,0.0594640108936956,0.7300990927475485,0,0.5141450741270988,7.80989467793339,16.8
IEX-ADS,3.1358641926816384,0.8116562939967199,0.3065237321066683,0.0366769524897332,-0.267519328075548,2,0.6819714511585887,22.376004604352524,13.600000000000001
MOH-SCI,2.1625307219002323,0.4894249587442569,0.8257666233829528,0.0662701530899425,-0.5439651181207122,9,0.660559143936509,118.17266299039112,43.2
MOH-FHN,2.2604576683343978,0.4377272614206441,0.7689041102678442,0.0939023859254713,-0.2888475851453935,4,0.6113643363638316,38.203629021839674,48.8
MOH-POLY,8.459544912387903,0.23894290584719463,0.4934937869175453,0.1248624723665931,-0.5441883782514678,0,0.4176649871698483,16.563783886672113,0.0
MOH-SCHL,1.9686006570052481,0.41144716331485565,0.7456054409653539,0.1181725787067987,-0.29699367205867827,3,0.5267264738871754,71.64371057734387,86.4
NVAX-ACHC,2.0981462886831532,0.8307525764312356,0.678981490664432,0.1540242607328616,0.4199105071239757,6,0.39723621667199355,19.155994538790438,89.60000000000001
NVAX-NYCB,2.3761182524471494,0.6679190529350382,0.4839008833895881,0.1933831470656985,-0.005319507456594594,4,0.4551207885060222,18.46862447316088,98.4
NVAX-MIDD,4.311920679557326,0.3581644840334133,0.5419763256484394,0.1739098450299979,0.39479309613668756,3,0.6585659497272037,28.675895318105656,44.800000000000004
NVAX-FNB,4.196183403147854,0.5118851916745464,0.4961521812713892,0.2933419591398608,0.09267190099853224,6,0.5643550740759665,17.518647311221763,96.8
SBNY-DXC,4.890262683297605,0.04927709943281172,0.9584470295247223,0.0683911192702917,-0.37068789811962294,0,0.5162879155558273,45348.692710135765,30.4
SBNY-ISBC,0.42809653183727564,0.4788151473218805,0.25518964218109214,0.0432649973731654,0.4991769036751601,7,0.3766941418262742,10.063648269736404,100.0
SBNY-EGBN,1.6602678147053471,0.33836255771300705,0.3762309559695479,0.0481486949354166,0.3544876345123315,0,0.4403214007714831,12.736893757655876,14.399999999999999
SBNY-FCF,0.9632879853329711,0.27292397136434293,0.8978530485087703,0.0700437123276869,0.1885603951690086,7,0.6002294099520347,26.130754254024517,88.0
SBNY-PKI,1.1932826129403473,0.14601328760735338,0.756104011346596,0.0618533130074928,-0.01919045956666433,10,0.6361670279173051,31.450908983877067,67.2
PWR-CG,0.7408547794453504,0.0841607667001345,0.06108129103824398,0.0767885624787754,0.913504097448538,10,0.4446646329773839,5.937292689583247,100.0
PWR-X,1.41257537888477,0.06353649829657958,0.0561671634343001,0.0772032583574048,0.9458478245016947,0,0.3731416781469261,7.026182267140094,76.0
PWR-CFX,0.756958211664352,0.7102609977733317,0.6991696422253867,0.0687509088364751,0.7936142407382765,10,0.5834737592651159,27.27960814852046,95.19999999999999
PWR-ATI,0.8288026313751183,0.8439831604747983,0.5857995261283628,0.0648935708976925,0.8031152893345227,8,0.4797166524105075,18.89765376560496,91.2
WSM-STFC,2.0921631663942004,0.31580326282424204,0.08143343429422517,0.0851801885376919,0.17839233177848182,0,0.3111823404565375,6.741796289953787,46.400000000000006
FANG-ARW,1.8106841626523662,0.6994327058193002,0.4482299737520656,0.1308266596485826,0.8650446852627274,4,0.5046771560370881,16.062323839434832,86.4
FANG-EQC,0.8351249251830052,0.035272624064179255,0.013695939058356506,0.1867806241419512,0.8133384139570485,23,0.468881592238615,4.317142743136068,100.0
FANG-SANM,1.26361553356846,0.009011283953967907,0.6069733764723019,0.1567300218083258,0.9348582064939591,3,0.42456962729782466,12.37498641726901,100.0
FANG-KAMN,1.5274217945694186,0.3484019909575372,0.04701715422028202,0.2065881270384784,0.7186646866948253,18,0.4198036047781421,5.44274094010774,99.2
BRO-MOH,1.1047987151931908,0.9341103137031644,0.9059974956271675,0.0372094062808349,-0.17045640131809353,3,0.7080376969454754,115.00688708926685,39.2
BRO-NVAX,1.2164639361143506,0.9300309022137162,0.8001873243521489,0.0423683189019068,0.09513061977448833,3,0.6785486555497828,56.28693388016946,34.4
BRO-WSM,1.4868263355414844,0.9594149282612039,0.9180872576777872,0.0390706815727826,0.317149258438813,6,0.705613020332844,85.72985259023413,31.2
BRO-JLL,1.3696808259941222,0.7698831560758443,0.8945619942892835,0.0432741054810491,-0.4417343690622396,1,0.7122773301175167,108.99424817618416,33.6
BRO-WTRG,0.6924542597713953,0.6248132733598777,0.7537109719015909,0.0382184951369697,0.7769401970797138,9,0.6108848657768869,38.365500911676016,73.6
BRO-BAH,0.9947589441029631,0.9361079757649682,0.865209420291772,0.0410477215609233,0.19568579835603214,5,0.7004104203939674,75.28034244336864,40.0
BRO-BLDR,1.087377795451017,0.4636294591307137,0.8411197523974052,0.0475924380289439,0.8235160244670998,3,0.6792542637377761,59.790247810187225,45.6
BRO-BG,1.739132141281465,0.9306597254070551,0.8640904541429828,0.0486038120550122,0.23439541199111807,6,0.6748387263959181,56.879449820926055,24.0
BRO-SCI,0.9585062389964317,0.6195770405829603,0.8352038369025012,0.0360146153518338,0.7153025340144155,5,0.6378575849890995,59.70086446101286,33.6
BRO-OC,1.1653469946735682,0.3051138390689152,0.8577807308510856,0.0512869086225159,0.8013289581877203,2,0.675878462862917,67.11859674910271,45.6
BRO-LAD,1.198742543385788,0.9523183133195984,0.888359245742172,0.0380120411277557,-0.02400955466585715,1,0.7007190877346197,94.0539994467372,37.6
BRO-NWL,0.7677088140142065,0.27091369533059695,0.7874372172096407,0.0383001943616835,0.8843558670246958,5,0.6572489522168327,44.63147373262681,64.0
BRO-UGI,0.725567441478422,0.015101676519554819,0.8032875319464527,0.0408216639227139,0.9665050947528163,3,0.6327064654037335,42.436844715802025,80.80000000000001
BRO-UTHR,1.2399482840163776,0.1232658064265052,0.8733713984868455,0.0387789910201185,-0.7255645891655537,3,0.6897237746837547,87.59673460477174,33.6
BRO-LSI,0.8076213033558977,0.9717740506881651,0.9026353137399141,0.0402773968624778,0.19481423195256203,1,0.6864422038851493,103.30999564662856,65.60000000000001
BRO-ON,1.2481334635154226,0.675710542423535,0.8816157715449311,0.0455541985619361,0.7491533581448038,2,0.7077439756726467,82.0430091213567,35.199999999999996
BRO-FRT,0.8421379657655925,0.28121710085051255,0.8499663835414157,0.0434883405528099,0.8303998487804014,3,0.668894286813129,64.49814059987072,74.4
BRO-ST,1.582166423341625,0.9496129541046121,0.8293796748618263,0.0416714031560624,0.1015801442976209,4,0.7194966156684919,68.42255992449732,29.599999999999998
BRO-FHN,0.9940632504134229,0.4778136502596735,0.8314048217345642,0.035592295151281,0.7049894410272587,1,0.626683058379894,63.876590794596666,39.2
BRO-NNN,0.658973432232913,0.3998972384139382,0.78799172877523,0.0425942714795198,0.8181745989859772,1,0.6098050947369937,42.30070682262576,91.2
BRO-JBL,1.4663194670176314,0.8556522057621265,0.816908282777549,0.0411437578246816,-0.3684615837898259,1,0.7741372597060816,74.96144846135644,38.4
BRO-EHC,1.077054175949965,0.7411531024937286,0.852585072745129,0.0359658302802013,0.7606425060571322,2,0.6602723663793487,58.926683195152556,33.6
BRO-KNX,1.1369523231022658,0.40545269593498695,0.8878254476157497,0.0441772923396046,0.7912610505667259,4,0.6696209063057159,89.05317921200866,38.4
BRO-AN,1.5143324886599288,0.8979983211475369,0.783017785449192,0.0426789409905508,0.1904770907332494,6,0.6913913163301434,53.88860061982174,33.6
BRO-FAF,0.9567899878178365,0.1588990333908047,0.8533266228649465,0.0435476221127506,0.8418267355312342,3,0.6618160098374246,66.60954351606321,46.400000000000006
BRO-FR,0.7006485840330426,0.4333265351143815,0.6911924094072812,0.0425599572957966,0.8598046148018078,3,0.6357495392876679,31.97493303738207,92.0
BRO-HBI,1.0827731971794121,0.8707094976833515,0.893093480601828,0.0391427728254706,-0.3833754680232174,3,0.6779152106548316,94.74584503041407,35.199999999999996
BRO-SRCL,1.666800495724743,0.9027757441853519,0.8828078464597341,0.0352334048551767,-0.3440370273452401,2,0.7023746943732098,90.75100249339931,30.4
BRO-LEG,0.7830843871349507,0.0019563841697856845,0.8591441684476713,0.0386913195688679,0.9748230217456468,5,0.6413365823809927,61.94692469462681,62.4
BRO-SMG,0.8689538945285968,0.8751550083010102,0.8952992083284237,0.0418874328018999,0.6971113567464217,3,0.6826997860910659,92.71758810618329,60.8
BRO-FFIV,1.2684228296986024,0.29681563260672306,0.8559705194035392,0.0492856443557213,0.8073037955501563,2,0.6959968756086093,66.27143987693412,37.6
BRO-VAC,1.1682289276101523,0.5397841642064484,0.8353054788132455,0.0418127677793805,0.8351478146279028,4,0.6511341018271913,54.71013590404841,38.4
BRO-CACI,0.793069245322931,0.9560272443804467,0.9478825777187807,0.0402115831325051,0.6828799125365506,1,0.6982015257606811,144.40310370626972,62.4
BRO-ACHC,1.1404716687742065,0.9355305845870416,0.9082787171222222,0.0376781710714895,-0.10888379601855308,5,0.6904924516476343,90.42817320129332,32.0
BRO-FL,1.0941900327744827,0.5726140873431529,0.9033886511303093,0.0426613766981092,-0.6414842874114686,1,0.6983742531565038,113.59161965354004,37.6
BRO-HELE,0.9204687011705452,0.30818735155233645,0.8723216938886528,0.0434460661034179,0.9037182962046915,1,0.6801520676378433,73.61897484857907,51.2
BRO-INGR,0.5931063858464657,0.3511504110977613,0.7753394244424903,0.043181924178957,0.9060596145085041,1,0.607360498155422,38.82882394078024,93.60000000000001
BRO-ASH,1.0784108644738304,0.3973801882032283,0.866136922175142,0.0418254051378626,0.8919278828846093,2,0.6599134902013485,51.52342677068259,36.8
BRO-IRDM,1.2317911947385842,0.13000009549515962,0.7904100159647687,0.0456871106579064,0.7766331996535565,2,0.6322480168726706,50.35878330952502,34.4
BRO-ADC,0.6148224874931367,0.5619696105150205,0.5870657752189848,0.0410471916337465,0.8528052978931181,16,0.5548663267384919,21.39960183499737,83.2
BRO-LAMR,0.7440714846433251,0.3028306210499998,0.7745773761279748,0.0412221972129661,0.8473940140990713,5,0.6347568958437925,42.555371314513415,80.0
BRO-CF,1.7612127204089858,0.9114716560783998,0.9007698657477345,0.0470550182260218,-0.19579165039163166,6,0.7072664562345252,105.7789130985239,32.0
BRO-HRC,0.9655621849678707,0.5052771323865177,0.8687052051861908,0.0377017002182524,0.5286857159602768,9,0.6639028920092798,72.27832185241779,40.8
BRO-CRUS,1.025139758285866,0.5230337211974144,0.8695532771129829,0.0489346584756242,0.7913321250042352,6,0.649547951084141,72.28814029474879,49.6
BRO-JBLU,1.0458407166845587,0.5665643837978531,0.902325314886933,0.0415210310958009,-0.6054939558075008,1,0.6987192011472974,110.66874042495094,40.8
BRO-FCN,1.213872446211786,0.661740223604086,0.7490423969091129,0.0443381147247429,0.7807387877695312,2,0.6097419839534848,33.51728592961042,33.6
BRO-UBSI,0.9309493804025198,0.38326240468988326,0.8861398021822735,0.0388353096087607,0.8847425743603013,5,0.6632304726569361,87.3389045832255,40.8
BRO-AEO,1.2550680866081516,0.506945306410618,0.8634941246179094,0.0510036586200422,0.5599080045869,2,0.6883314786478567,70.93980958454767,40.8
BRO-HE,0.7584357895114489,0.02054814480200659,0.8475335079016421,0.0413436072025704,0.9484837421987301,3,0.6464668781306229,52.489137346683655,76.8
BRO-UFPI,0.7722702373980445,0.0032626275670791273,0.8398049411172278,0.0471392030837329,0.92992565748826,3,0.6531317071164451,55.519242660168025,88.8
BRO-STL,0.9061679755923091,0.7941863743148279,0.8861781784974829,0.0420023522899795,0.6397043319080049,3,0.6759223999510985,88.73441881001607,51.2
BRO-UAA,1.0513796864426022,0.9341601716290945,0.8721979640270859,0.0413788143909819,0.3016497359698001,7,0.6500016499195224,76.0568650817907,43.2
BRO-PNW,0.5817395331403161,0.037649414897342456,0.7345582431953341,0.0403160747382309,0.9269984067990377,3,0.6212103458046535,31.88606394137771,90.4
BRO-CRI,0.7554922840538972,0.06278795012932778,0.8435287226448672,0.034866946572969,0.8239042927962009,3,0.6749725548527368,56.54762871542526,53.6
BRO-HR,0.8078259877090996,0.6098676925663339,0.807891176813875,0.048252172703602,0.8095807232927429,1,0.669291198432629,48.54374772298388,92.0
BRO-XPO,1.2749818587066344,0.8706166242924178,0.8981440648772253,0.0414621174908722,0.7844488386269012,6,0.7017744600461925,94.95262692992749,33.6
BRO-SPR,1.0499875005708743,0.9652704651701877,0.8934921555051463,0.0383670255753054,0.3191105661198415,3,0.6940007665690218,97.03601023788876,34.4
BRO-SEIC,0.9542477867622913,0.6507618731200622,0.7911975975658541,0.0373819627086352,0.5351242025846433,1,0.686769701536428,53.592305963723,33.6
BRO-HPP,1.0310260168360457,0.4596333581817439,0.836488621874903,0.0425738740413387,0.8696105639229164,2,0.6531211253250038,56.07271197230088,43.2
BRO-AXS,0.8711466906649125,0.6159396684525524,0.8927182761134096,0.0342707478422306,0.4666437505303077,3,0.7004101242226369,75.19120456244751,33.6
BRO-SWX,0.5690837821121771,0.2919851860335729,0.676749765878903,0.0423328283546258,0.891662481581953,4,0.5965793340640126,26.589561199682276,95.19999999999999
BRO-EPR,0.532421759124104,0.5594878655938175,0.6672429253837101,0.0401619481153081,0.8944456258608612,3,0.5886914499029505,27.47184373695735,93.60000000000001
BRO-SXT,0.9337593529072141,0.5071646909516233,0.828188356940573,0.0403444377435222,0.8863595502412547,5,0.6560517909294026,53.95670308634786,44.0
BRO-SLGN,1.0935010531346592,0.955359321239361,0.8793265443428202,0.0377510312355728,0.004856726243447958,5,0.7356826243003247,91.80988406297251,36.0
BRO-TGTX,1.3080660165910685,0.8005570044855972,0.9083266631536964,0.0379148221257,-0.3443613137284214,3,0.6903686482993797,121.08095049060124,33.6
BRO-MATX,1.1086285940976237,0.6667904677032304,0.9340072823770408,0.0405075102917207,-0.5304492559271056,1,0.7365353253079399,144.60720746975446,37.6
BRO-AWR,0.9510416459364007,0.9168656136625759,0.8560783463992596,0.0398713872518442,-0.4300139805043722,1,0.669517513953429,71.8423987570747,40.8
BRO-MAC,0.9434958832458054,0.6062767726435819,0.8417865325836626,0.0420464672567838,0.40933245976915683,1,0.6761736768342901,66.07210283966799,45.6
BRO-ABM,0.7474500956057352,0.5289986959877384,0.8052111195181693,0.0378201396636247,0.8417241425460613,4,0.6092631913605026,43.96036841314396,63.2
BRO-WTM,0.6341589490896481,0.010244507756799243,0.8210557118501101,0.0406010098511237,0.9397692623556069,3,0.6366513263488496,46.497644727509034,88.8
BRO-SR,0.6908036937658582,0.6411423641072311,0.8304478556072898,0.0368454098053459,0.7353810630926391,7,0.6553909573697211,53.58234820246749,75.2
BRO-JWN,1.825054753363154,0.9066561207238703,0.9621059074835031,0.0413778283600637,-0.2523513444054454,4,0.7561754799673358,-1250.2057634737998,31.2
